integration_id,name,source_platform,source_object,destination_platform,destination_object,direction,mechanism,protocol_or_method,endpoint_or_url,trigger,business_purpose,data_read,data_written,fields_or_attributes,statuses_or_values,conditions_or_branching,frequency_or_usage,owner_or_team,last_modified_or_last_triggered,dependencies,failure_impact,retry_or_fallback,current_state,evidence,confidence
INT-011,"Monday status notifications (legacy/live path under migration)","Monday.com","status4 changes + related webhook filters","Cloudflare Worker / n8n Cloud / Intercom and VPS shadow service","legacy + shadow migration path","Monday -> Cloudflare -> n8n -> Intercom; future Monday -> VPS -> Intercom","workflow/service","Monday webhook + worker + n8n webhook + Intercom API","legacy webhook path status-notification; VPS shadow path /webhook/monday/status-notification","status4 notification-relevant change","Send customer-facing status emails via Intercom replies","Monday item data, Intercom conversation/contact data","Intercom replies","status4, service, client type, passcode, intercomId","14 notification scenarios documented","shadow mode currently prevents live send on VPS path; legacy path still documented as active","unknown","customer service","shadow coverage logged 2026-03-31; cutover incomplete","Monday.com, Cloudflare, n8n Cloud, Intercom, VPS service","duplicate/missed messages if cutover is mishandled","shadow verification before cutover","partial / migrating","Migration plan and status docs confirm shadow service and incomplete cutover","Observed"
INT-012,"Monday status4 Diagnostic Complete -> bm-grade-check","Monday.com","Main Board status4","VPS bm-grade-check -> Slack / Monday comment","service /webhook/bm/grade-check","Monday -> VPS -> Slack/Monday","webhook service","Monday webhook + Monday GraphQL + local sell-price data","https://mc.icorrect.co.uk/webhook/bm/grade-check","status4 changes to Diagnostic Complete on board 349212843","Predict BM resale profitability before refurb/listing decisions","Monday item grade/cost fields, linked BM device data, local sell-price file","Slack warning and Monday comment when below threshold","status_2_mkmcj0tz, status_2_mkmc4tew, numeric, lookup_mkx1xzd7, formula__1, formula_mkx1bjqr, board_relation5","Diagnostic Complete","waits for both grades; dedups for 10 minutes; only alerts below threshold","unknown","BM refurb / pricing ops","live code updated Mar 2026; exact last trigger unknown","Monday.com, buyback-monitor sell-price data, Slack","low-margin devices can move forward without visibility if path breaks","dedup cache only; no external retry branch required because response is immediate and side effect is advisory","active","Live service code and ingress map confirm route, thresholds, and outputs","Observed"
INT-013,"Slack /call phone intake -> telephone-inbound -> Intercom / Monday","Slack","slash command and interactivity","telephone-inbound -> Intercom / Monday.com / Slack","service on port 8003","Slack -> VPS -> multiple systems","service / operator intake","Slack webhook + REST API calls","/slack/commands, /slack/interact, /webhook/icloud-check/slack-interact","Phone enquiry logged from Slack","Capture phone enquiries and optionally create business records","customer/device/fault/modal fields","Slack thread record, Intercom lead, Monday item","customer name, email, phone, device, model, fault, notes; Monday columns status4/service/status/source/info-capture plus board relations","action values log_only, intercom_only, intercom_monday","deferred button branches can create Intercom/Monday later; non-phone actions are forwarded to icloud-checker","unknown","front desk / customer service","unknown","Slack, telephone-inbound, Intercom, Monday.com, icloud-checker","phone-originated leads can stay in Slack only or be partially created across systems","manual operator choice plus deferred action buttons","active","Live Flask service code confirms endpoints and branch logic","Observed"
INT-014,"Shopify native customer sync -> Intercom contact attributes","Shopify","customer/order data","Intercom","contact attributes","Shopify -> Intercom","native integration","native integration / API sync","unknown","Shopify customer or purchasing-summary sync events","Enrich Intercom contacts with Shopify customer and order context","Shopify customer profile and purchasing summary data","Intercom custom contact attributes","shopify_domain, shopify_id, shopify_orders_count, shopify_total_spent, shopify_last_order_name, shopify_last_order_id, address fields","customer update / purchasing summary / marketing consent events","exact event triggers and ownership are not yet verified","unknown","customer service / ecommerce","unknown","Shopify, Intercom","customer context in Intercom may drift or duplicate with n8n-driven syncs if this path is unclear","unknown","active / partially verified","Live Intercom data-attribute descriptions explicitly state fields are imported by Shopify integration","Observed"
INT-015,"Monday catch-all webhook 537444955","Monday.com","Board 349212843 any column change","Unknown","Likely stock-checker consumer, exact destination unknown","Monday -> unknown","native Monday webhook","change_column_value","unknown","Any column changes","Catch-all rule labeled `Stock Checker` in Monday UI; documented as token burner","entire board change event payload","unknown","all columns on board 349212843","any change","empty config means unfiltered fire-on-every-change behavior","~4,000+ automation actions/day noted in migration plan for the catch-all pair; screenshot shows 3,572 actions at capture time","unknown","updated Feb 18 2026 in automation export; destination still unknown","Monday.com","unknown consumer may break silently if disabled without inspection","none documented; requires Monday UI inspection","active / unknown","Webhook discovery doc, UI screenshot, and migration plan flag this rule as active and unresolved","Observed"
INT-016,"Monday catch-all webhook 530471762","Monday.com","Board 349212843 any column change","Unknown","Likely notifications consumer, exact destination unknown","Monday -> unknown","native Monday webhook","change_column_value","unknown","Any column changes","Catch-all rule labeled `Notifications.` in Monday UI; documented as token burner","entire board change event payload","unknown","all columns on board 349212843","any change","empty config means unfiltered fire-on-every-change behavior","~4,000+ automation actions/day noted in migration plan for the catch-all pair; screenshot shows 3,572 actions at capture time","unknown","updated Feb 4 2026 in automation export; destination still unknown","Monday.com","unknown consumer may break silently if disabled without inspection","none documented; requires Monday UI inspection","active / unknown","Webhook discovery doc, UI screenshot, and migration plan flag this rule as active and unresolved","Observed"
INT-017,"Back Market SENT order poll -> Monday Main + BM Devices + Telegram","Back Market","buyback orders with status SENT","scripts/sent-orders.js -> Monday.com / Telegram","backmarket/scripts/sent-orders.js","BM -> script -> multiple systems","polling script","BM REST GET + Monday GraphQL mutations + Telegram Bot API","GET /ws/buyback/v1/orders?status=SENT","BM order reaches SENT","Create linked intake records for incoming trade-in devices","BM order summary/detail, packing slip PDF, parsed customer/assessment/spec data","Main Board item, BM Devices item, board relation link, Telegram notification","text_mky01vb4, text5, numbers, text796, status, service, status4, status24, board_relation5 on Main Board; text_mkqy3576, text8, numeric, text0, board_relation on BM Devices","SENT -> Expecting Device / Diagnostic","dedup on Main Board BM public ID; continue on missing fields; alert on partial create/link failures","daily 06:00 UTC","BM trade-in ops","live runtime confirmed by 2026-03-31 cron log","Back Market API, Monday Main Board, Monday BM Devices Board, Telegram, pdftotext","incoming trade-ins may be invisible or only partially created if this path fails","warnings and Telegram alerts on several failure modes; no rollback for partial creates","active","SOP 01, live crontab, and sent-orders.log confirm the ingress flow is scheduled and creating records","Observed"
INT-018,"Monday To List -> list-device.js -> Back Market listing publish","Monday.com","Main Board status24 To List in BMs Awaiting Sale","backmarket/scripts/list-device.js -> Back Market / Monday.com / Telegram","backmarket/scripts/list-device.js","Monday -> script -> BM + Monday","operator-invoked script","Monday GraphQL + BM REST GET/POST + Telegram Bot API","POST /ws/listings; GET /ws/listings/{id}; GET /ws/tasks/{id}; GET /ws/backbox/v1/competitors/{uuid}","Operator runs live single-item listing for a Main Board item marked To List","Create or reuse a safe BM listing, price it, publish it, and sync listing identity back to Monday","Main Board grade/colour/cost fields, linked BM Devices specs, resolver registry, BM catalog, BM live listing/backbox responses","BM listing draft/live state, BM Devices listing ID/product UUID/SKU/total fixed cost, Main Board status24 Listed, Telegram confirmations","status_2_Mjj4GJNQ, status8, lookup_mkx1xzd7, formula_mkx1bjqr, formula__1, board_relation, text_mkyd4bx3, text_mm1dt53s, text89, numeric_mm1mgcgn, status24","To List -> Listed","hard gate on final grade and trusted resolver path; draft verification must pass before publish; live mode requires --item and batch live is disabled","manual / operator-driven","BM resale ops","SOP updated 2026-03-30; no scheduler found as of 2026-04-01","Monday.com, Back Market API, listings-registry.json, bm-catalog.json, Telegram","device can remain unlisted or Monday/BM can diverge if publish succeeds but sync-back fails","leaves mismatched listings as draft and avoids Monday update until verification passes","active / operator-gated","SOP 06 and list-device.js show the exact listing/publish/sync-back logic","Observed"
INT-019,"Back Market new sale poll -> sale-detection.js -> Monday + BM Devices + Telegram","Back Market","sales orders with state=1","backmarket/scripts/sale-detection.js -> Monday.com / Telegram","backmarket/scripts/sale-detection.js","BM -> script -> Monday + Telegram","polling script","BM REST GET/POST + Monday GraphQL + Telegram Bot API","GET /ws/orders?state=1; POST /ws/orders/{order_id}","Scheduled BM sale-detection poll finds a new unaccepted order","Accept BM sale, reserve the matched device, and update operational state in Monday","BM orderlines, listing_id, order SKU, buyer, linked Monday relation","BM state accepted, BM Devices buyer/order/price fields, Main Board Sold/date/name fields, Telegram confirmation","text_mkyd4bx3, text4, text_mkye7p1c, numeric5, board_relation, status24, date_mkq34t04, name","new BM sale -> Sold","blocks if no match, already sold, existing order ID, or excluded group; uses order payload SKU as source of truth if Monday SKU differs","hourly weekdays; 08/12/16 UTC weekends","BM resale ops","live acceptance confirmed on 2026-03-31","Back Market API, Monday BM Devices Board, Monday Main Board, Telegram","BM order can remain unaccepted or Monday stock can diverge if the path fails","manual review alerts for no-match/double-checkout scenarios; no accept on failed stock checks","active","Live crontab, sale-detection.js, and sale-detection.log confirm scheduled execution and successful production updates","Observed"
INT-020,"Website warranty claim -> n8n -> Intercom conversation/contact reconciliation","Website","warranty-claim webhook","n8n Cloud -> Intercom","workflow LjNBWaDz9f5Rj8g5","Website -> n8n -> Intercom","workflow","webhook + email + Intercom REST","webhook path warranty-claim","Website warranty form submitted","Create Intercom-handled warranty/aftercare case from website intake","customer identity, device, repair date, issue description","email to support inbox, Intercom conversation lookup, Intercom contact create/search, conversation customer swap","name, email, phone, repair_date, device_type, model, body, emailSubject, conversationId, customerContactId","warranty claim submission","conversation search happens after 45s wait; branch for existing vs new contact; swaps real contact onto the created conversation","unknown","customer service / aftercare","workflow active as of 2026-02-09 export","Website, n8n Cloud, Intercom email channel, Intercom contacts/conversations","warranty claims may stay detached from the correct customer or not enter the expected support flow","existing/new-contact branches and explicit contact swap logic present","active","Active workflow definition shows warranty-claim webhook, support email generation, Intercom conversation search, and customer replacement steps","Observed"
INT-021,"Monday spec mismatch -> icloud-checker -> Slack approval -> BM counter-offer","Monday.com","serial/spec validation on BM trade-in","icloud-checker -> Slack / Back Market / Monday.com","icloud-checker counter-offer flow","Monday -> VPS -> Slack + BM","service / approval flow","Monday webhook + Slack actions + BM REST PUT","/webhook/icloud-check, /webhook/icloud-check/slack-interact, /webhook/bm/counter-offer-action, PUT /ws/buyback/v2/orders/{orderPublicId}/counter-offers","Spec mismatch found after Apple spec lookup on a BM trade-in","Escalate or execute a BM counter-offer while enforcing rate limits and preserving Monday state","Monday linked BM trade-in data, Apple specs, claimed specs, BM order detail, rolling counter-offer log","Monday status24 Counteroffer or reset to IC OFF, Slack approval UI, optional BM counter-offer execution","status24 index 3 Counteroffer, bmTradeInId, originalBid, adjustedPrice, mismatch details","spec mismatch / counter-offer","blocks automatic countering if rolling counter-offer rate is at or above 15%; branches to approve, pay original, or adjust price","unknown","BM trade-in ops","live code path current in icloud-checker source; exact last trigger unknown","Monday.com, icloud-checker, Slack, Back Market buyback API","spec-mismatch trade-ins can stall or be mishandled if approval/action flow breaks","pay-original branch and manual Slack-driven decisions provide fallback","active / partially operator-driven","icloud-checker source and counter-offer helper confirm Slack action flow, 15% rate cap, and BM counter-offer execution","Observed"
INT-022,"Weekly sell-side pricing -> V7 scraper -> buy_box_monitor.py -> sheet sync","Local cron / buyback-monitor","run-weekly.sh","Back Market / Google Sheets","buyback-monitor weekly pricing pipeline","scheduler -> local pipeline -> multiple systems","scheduled shell pipeline","cron + Node.js + Python","/home/ricky/builds/buyback-monitor/run-weekly.sh","Monday 05:00 UTC cron","Refresh sell-side market pricing, run the live legacy buy-box monitor, and sync reporting output","Back Market market/listing data","updated local pricing artifacts, buy-box/price actions through Python monitor, Google Sheet sync output","listing identifiers, competitor pricing, buy-box position, sheet rows","weekly sell-side pricing review","pipeline is still live through Python `buy_box_monitor.py`; rebuilt JS `buy-box-check.js` is not the scheduled owner","weekly Monday 05:00 UTC","BM resale ops","QA audit 2026-04-01 confirms current scheduled ownership","Back Market APIs, buyback-monitor scripts, Google Sheets sync, cron","pricing and buy-box control can drift for a full cycle if the legacy scheduler path fails or diverges from the rebuilt SOP","unknown","active","`buyback-monitor/run-weekly.sh`, SOP 07, and QA-SOP-SCRIPT-AUDIT-2026-04-01 confirm the current scheduled runtime path","Observed"
